"KoordID","x","y","Anthus.spinoletta","Milvus.migrans","Turdus.torquatus","Sylvia.borin","Hirundo.rustica","Passer.montanus","Motacilla.cinerea","Emberiza.citrinella","Certhia.brachydactyla","Picus.viridis","Aegithalos.caudatus","Pica.pica","Dryocopus.martius","Muscicapa.striata","Sturnus.vulgaris","Passer.domesticus","Parus.montanus","Carduelis.carduelis","Nucifraga.caryocatactes","Cuculus.canorus","Pyrrhula.pyrrhula","Serinus.serinus","Carduelis.cannabina","Turdus.pilaris","Falco.tinnunculus","Loxia.curvirostra","Carduelis.chloris","Corvus.corax","Anthus.trivialis","Milvus.milvus"
617118,617000,118000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617134,617000,134000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
617150,617000,150000,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0
617166,617000,166000,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0
617182,617000,182000,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1
617198,617000,198000,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1
617214,617000,214000,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0
617230,617000,230000,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1
617238,617000,238000,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1
617246,617000,246000,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
617254,617000,254000,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1
617262,617000,262000,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1
623094,623000,94000,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0
